Rank,Release Group,Worldwide,Domestic,%,Foreign,%
110,Poly,"$5,236,154",-,-,"$5,236,154",100%
111,Son of Morning,"$5,075,369",-,-,"$5,075,369",100%
112,Forever Passion,"$5,060,000",-,-,"$5,060,000",100%
113,¡A todo tren! Destino Asturias,"$5,024,440",-,-,"$5,024,440",100%
114,Red,"$4,920,261",-,-,"$4,920,261",100%
115,Agent Backkom: Kings Bear,"$4,770,000",-,-,"$4,770,000",100%
116,Under the Open Sky,"$4,702,781",-,-,"$4,702,781",100%
117,Palma,"$4,697,041",-,-,"$4,697,041",100%
118,Zola,"$4,672,782","$4,672,782",100%,-,-
119,Separation,"$4,509,143","$4,509,143",100%,-,-
120,Major Grom: Plague Doctor,"$4,493,306",-,-,"$4,493,306",100%
121,Wrong Turn,"$4,425,703","$1,251,184",28.3%,"$3,174,519",71.7%
122,V2. Escape from Hell,"$4,392,744",-,-,"$4,392,744",100%
123,Prababushka lyogkogo povedeniya,"$4,360,396",-,-,"$4,360,396",100%
124,77 Heartwarmings,"$4,345,693",-,-,"$4,345,693",100%
125,The Relatives,"$4,300,000",-,-,"$4,300,000",100%
126,Voyagers,"$4,284,903","$3,149,935",73.5%,"$1,134,968",26.5%
127,Roadrunner: A Film About Anthony Bourdain,"$4,230,155","$4,230,155",100%,-,-
128,Girls und Panzer das Finale: Part III,"$4,216,657",-,-,"$4,216,657",100%
129,Boogie,"$4,191,023","$4,178,620",99.7%,"$12,403",0.3%
130,The Forgotten Battle,"$4,139,237",-,-,"$4,139,237",100%
131,Seobok,"$4,119,613",-,-,"$4,119,613",100%
132,The Lord of the Rings: The Two Towers 2021 Re-release,"$4,084,695",-,-,"$4,084,695",100%
133,Family Swap,"$3,934,758",-,-,"$3,934,758",100%
134,Master Ji Gong,"$3,860,000",-,-,"$3,860,000",100%
135,Karnan,"$3,817,585",-,-,"$3,817,585",100%
136,Operation Portugal,"$3,765,443","$1,096",<0.1%,"$3,764,347",100%
137,Mission Possible,"$3,563,279",-,-,"$3,563,279",100%
138,Tomorrow Will Be Fine,"$3,520,000",-,-,"$3,520,000",100%
139,Son of Morning 2021 Re-release,"$3,491,793",-,-,"$3,491,793",100%
140,Catweazle,"$3,485,442",-,-,"$3,485,442",100%
141,The Sun Does Not Move,"$3,483,187",-,-,"$3,483,187",100%
142,12 Mighty Orphans,"$3,460,268","$3,460,268",100%,-,-
143,Presidents,"$3,424,582",-,-,"$3,424,582",100%
144,Finding You,"$3,325,482","$2,753,985",82.8%,"$571,497",17.2%
145,Go Brother! 2,"$3,240,000",-,-,"$3,240,000",100%
146,Endless Rain,"$3,211,137","$7,334",0.2%,"$3,203,803",99.8%
147,The Girl Who Believes in Miracles,"$3,163,362","$3,163,362",100%,-,-
148,Después de Ti,"$3,162,778",-,-,"$3,162,778",100%
149,Land,"$3,159,730","$2,577,830",81.6%,"$581,900",18.4%
150,French Tech,"$3,158,212",-,-,"$3,158,212",100%
151,Un tour chez ma fille,"$3,141,536",-,-,"$3,141,536",100%
152,Operación Camarón,"$3,075,471",-,-,"$3,075,471",100%
153,The House Next Door: Meet the Blacks 2,"$2,893,660","$2,893,660",100%,-,-
154,Ainbo,"$2,868,677",-,-,"$2,868,677",100%
155,Here Today,"$2,807,494","$2,807,494",100%,-,-
156,The Speech,"$2,774,120",-,-,"$2,774,120",100%
157,Recalled,"$2,696,945",-,-,"$2,696,945",100%
158,The Book of Fish,"$2,615,780",-,-,"$2,615,780",100%
159,The Ice Road,"$2,486,641",-,-,"$2,486,641",100%
160,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)","$2,412,677","$2,147,781",89%,"$264,896",11%
161,Pig,"$2,411,212","$2,411,212",100%,-,-
162,High Ground,"$2,313,364",-,-,"$2,313,364",100%
163,Roohi,"$2,306,525",-,-,"$2,306,525",100%
164,Long Story Short,"$2,260,121",-,-,"$2,260,121",100%
165,Mumbai Saga,"$2,243,073",-,-,"$2,243,073",100%
166,Fly Me Away,"$2,238,089",-,-,"$2,238,089",100%
167,Calamity Jane,"$2,237,596",-,-,"$2,237,596",100%
168,Supernova,"$2,182,751","$234,220",10.7%,"$1,948,531",89.3%
169,Yakuza and the Family,"$2,168,905",-,-,"$2,168,905",100%
170,Kamen Rider Saber + Kikai Sentai Zenkaiger: Super Hero Senki,"$2,107,892",-,-,"$2,107,892",100%
171,Benedetta,"$2,101,762",-,-,"$2,101,762",100%
172,30 Rojullo Preminchadam Ela?,"$2,088,571",-,-,"$2,088,571",100%
173,Fate/Grand Order The Movie Divine Realm Of The Round Table: Camelot Paladin; Agateram,"$2,085,581",-,-,"$2,085,581",100%
174,Sankaku Mado no Sotogawa wa Yoru,"$2,081,564",-,-,"$2,081,564",100%
175,One Second Champion,"$2,081,126",-,-,"$2,081,126",100%
176,Mandibles,"$2,033,778","$13,779",0.7%,"$2,019,999",99.3%
177,The Waiter,"$2,003,339",-,-,"$2,003,339",100%
178,June Again,"$1,965,209",-,-,"$1,965,209",100%
179,Alludu Adhurs,"$1,915,032",-,-,"$1,915,032",100%
180,Ensemble Stars!! Es Music Garden Delay Viewing,"$1,905,644",-,-,"$1,905,644",100%
181,Radhe,"$1,900,312",-,-,"$1,900,312",100%
182,Matky,"$1,877,419",-,-,"$1,877,419",100%
183,Queen Bees,"$1,855,827","$1,855,827",100%,-,-
184,Annette,"$1,848,865",-,-,"$1,848,865",100%
185,Profile,"$1,763,278","$1,744,740",98.9%,"$18,538",1.1%
186,Juega Conmigo,"$1,750,586",-,-,"$1,750,586",100%
187,Boss Level,"$1,747,162",-,-,"$1,747,162",100%
188,Forgotten We'll Be,"$1,723,243",-,-,"$1,723,243",100%
189,The Deep House,"$1,696,873",-,-,"$1,696,873",100%
190,Minamata,"$1,637,026",-,-,"$1,637,026",100%
191,The Con-Heartist,"$1,629,745",-,-,"$1,629,745",100%
192,The Rose Maker,"$1,625,775",-,-,"$1,625,775",100%
193,French Exit,"$1,556,763","$741,895",47.7%,"$814,868",52.3%
194,Tempting Hearts,"$1,530,000",-,-,"$1,530,000",100%
195,Mesh Ana,"$1,514,286",-,-,"$1,514,286",100%
196,Top of the City,"$1,500,000",-,-,"$1,500,000",100%
197,La La Land 2020 Re-release,"$1,499,170",-,-,"$1,499,170",100%
198,The Exorcism of Carmen Farias,"$1,474,579",-,-,"$1,474,579",100%
199,Together Together,"$1,437,938","$1,437,938",100%,-,-
200,Fortune Favors Lady Nikuko,"$1,428,439",-,-,"$1,428,439",100%
